route_id,agency_id,route_short_name,route_long_name,route_type
42,236037, Oradea - Cluj Napoca, Oradea - Oşorhei Hm. - Tileagd - Aleşd - Vadu Crişului Hm. - Şuncuiuş Hm. - Bratca - Negreni h. - Ciucea Hm. - Valea Drăganului h. - Poieni - Huedin - Aghireş h. - Aghireş - Gârbău Hm. - Cluj Napoca,2
43,227098, Zărneşti - Braşov, Zărneşti - G-ral T.Moşoiu hc. - Tohanu Vechi hc. - Râşnov h. - Râşnov - Cristian Hm. - Lustic h. - Bartolomeu - Braşov,2
44,227098, Braşov - Zărneşti, Braşov - Bartolomeu - Lustic h. - Cristian Hm. - Râşnov - Râşnov h. - Tohanu Vechi hc. - G-ral T.Moşoiu hc. - Zărneşti,2
45,227098, Iaşi - Dorohoi, Iaşi - Leţcani - Movileni h - Potângeni hc. - Larga Jijia Hm. - Vlădeni - Iacobenii Vechi hc. - Şoldana hc. - Andrieşeni hc. - Rediu hc. - Răuşeni hc. - Todireni Hm. - Jijia h. - Zlătunoaia h - Truşeşti - Buhăceni h. - Dângeni - Dângeni Nord h. - Ungureni Hm. - Mândreşti h. - Vorniceni h. - Mateieni h. - Corlăteni h - Carasa h. - Broscăuţi h. - Dorohoi,2
46,227098, Praid - Blaj, Praid - Sovata  hcv. - Sărăţeni h. - Chibed h. - Ghindari h. - Cioc h. - Sângeorgiu de Pădure h. - Fântânele h. - Bălăuşeri hcv. - Coroiu h. - Şoimuş h. - Laslău h. - Bahnea h. - Bernadea h. - Mica h. - Deaj h. - Găneşti h. - Şeuca h. - Târnaveni - Târnaveni Vest Hm. - Adămuş h. - Corneşti Târnava h. - Crăieşti h. - Cetatea de Baltă h. - Feisa h. - Jidvei  hcv. - Bălcaci h. - Sfântu Nicolae h. - Şona h. - Pănade h. - Sâncel h. - Blaj,2
47,227098, Ploieşti Sud - Urziceni, Ploieşti Sud - Dâmbu Hm. - Corlăteşti Hm. - Râfov h. - Trestieni h. - Zănoaga Hm. - Cornurile h. - Drăgăneşti Prahova Hm. - Hătcărău h. - Ciorani Hm. - Fulga hc. - Ialomiţa Hm. - Armăşeşti Hm. - Bărbuleşti h. - Urziceni,2
48,227098, Nerău hcv. - Timişoara Nord, Nerău hcv. - Teremia Banat hc. - Comloşu Mare h. - Gotlob h. - Lovrin - Satu Nou Hm. - Pesac h. - Periam - Variaş hc. - Gelu hc. - Bărăteaz h. - Chinezu h. - Hodoni h. - Sânandrei Hm. - Ronaţ Triaj Gr. D - Ronaţ Triaj h. - Ronaţ Triaj Cab.1 h. - Timişoara Nord,2
49,227098, Reşiţa Nord - Gătaia, Reşiţa Nord - Câlnic h. - Moniom h. - Colţan h. - Bocşa Montană hc. - Vasiova - Bocşa Română hc. - Berzovia - Gherteniş hc. - Măureni hc. - Gătaia,2
50,227098, Sărmaşu h. - Bistriţa Nord, Sărmaşu h. - Sărmăşel Gaz Metan h. - Sărmăşel hcv . - Ţăgşor h. - Ţagu Sat h. - Ţagu h. - Budeşti Cluj h. - Miceştii de Câmpie h. - Sânmihaiu de Câmpie h. - Brăteni h. - Sângiorgiu Nou h. - Vermeş h. - Lechinţa - Ţigău h. - Chiraleş h. - Chintelnic h. - Măgheruş Şieu Hm. - Arcalia hc. - Sărăţel - Sărata h. - Bistriţa Fabrici h. - Bistriţa Nord,2
51,227098, Luduş - Sărmăşel hcv ., Luduş - Luduş Sat hc. - Sânger Tăureni h. - Tăureni h. - Melini Valea Largă h. - Zau de Câmpie h. - Bota Sat h. - Miheşu de Câmpie h. - Miheşu de Câmpie Sat h. - Balda h. - Sărmaşu h. - Sărmăşel Gaz Metan h. - Sărmăşel hcv .,2
52,227098, Arad - Gurahonţ, Arad - Utvinişu Nou - Utviniş h. - Zimandu Nou h. - Sântana - Şiria Hm. - Mâsca Măderat h. - Pâncota h. - Seleuş h. - Târnova Zărand Hm. - Mocrea h. - Ineu - Tămand h. - Bocsig  h - Răpsig h. - Sebiş - Paulian h. - Joia Mare hc. - Almaş h. - Bonţeşti h. - Gurahonţ,2
53,227098, Arad - Nădlac, Arad - Arad Vest - Ferma Ciala h. - Sântoma h. - Pecica - Semlac h. - Şeitin h. - Nădlac,2
54,227098, Nădlac - Arad, Nădlac - Şeitin h. - Semlac h. - Pecica - Sântoma h. - Ferma Ciala h. - Arad Vest - Arad,2
55,227098, Ploieşti Sud - Drăgăneşti Prahova Hm., Ploieşti Sud - Dâmbu Hm. - Corlăteşti Hm. - Râfov h. - Trestieni h. - Zănoaga Hm. - Cornurile h. - Drăgăneşti Prahova Hm.,2
56,227098, Timişoara Nord - Nerău hcv., Timişoara Nord - Ronaţ Triaj h. - Ronaţ Triaj Gr. D - Sânandrei Hm. - Hodoni h. - Chinezu h. - Bărăteaz h. - Gelu hc. - Variaş hc. - Periam - Pesac h. - Satu Nou Hm. - Lovrin - Gotlob h. - Comloşu Mare h. - Teremia Banat hc. - Nerău hcv.,2
57,227098, Arad - Brad, Arad - Utvinişu Nou - Zimandu Nou h. - Sântana - Şiria Hm. - Mâsca Măderat h. - Pâncota h. - Seleuş h. - Târnova Zărand Hm. - Mocrea h. - Ineu - Tămand h. - Bocsig  h - Răpsig h. - Sebiş - Paulian h. - Joia Mare hc. - Almaş h. - Bonţeşti h. - Gurahonţ - Romaniţa h. - Aciuţa h. - Tălagiu h. - Vârfurile Hm. - Cariera Leasa h. - Hălmagiu Hm. - Ocişor h. - Ociu h. - Vaţa h. - Birtin h. - Lunca Moţilor h. - Baia de Criş h. - Ţebea h - Ribiţa h. - Brad,2
58,227098, Nădlac - Arad, Nădlac - Şeitin h. - Semlac h. - Canton Nr. 9 h. - Pecica - Sântoma h. - Ferma Ciala h. - Arad Vest - Arad,2
59,227098, Timişoara Nord - Cenad h., Timişoara Nord - Ronaţ Triaj Cab.1 h. - Ronaţ Triaj h. - Ronaţ Triaj Gr. D - Dudeştii Noi Hm. - Pescăreţu Mic hc. - Biled - Şandra h. - Satu Nou Hm. - Lovrin - Tomnaticu h. - Sânnicolau Mare - Sânnicolau Nord h. - Cenad h.,2
60,227098, Braşov - Breţcu Hm., Braşov - Pav. CFR Braşov Triaj h. - Hărman - Ilieni h. - Prejmer Hm. - Chichiş h. - Ozun Hm. - Sfântu Gheorghe - Angheluş h. - Moacşa hcv - Biţa h. - Boroşneu Mare h. - Ţufalău h. - Brateş h. - Covasna Hm. - Zăbala h. - Imeci Hm. - Cătălina h. - Târgu Secuiesc - Sânzieni h. - Poieniţa h. - Bălani h. - Mereni Lutoasa h. - Lemnia h. - Breţcu Hm.,2
61,227098, Sânnicolau Mare - Arad, Sânnicolau Mare - Saravale h. - Sânpetru h. - Periam - Aranca h. - Secusigiu h - Munor h. - Sânpetru German h. - Felnac hc. - Bodrogu Nou h. - Zădăreni Hm. - Aradu Nou - Arad,2
62,227098, Zlatna hcv. - Alba Iulia, Zlatna hcv. - Zlatna h. - Zlatna Tehnică - Feneş h. - Prisaca h. - Poiana Ampoiului h. - Văleni Meteş h. - Tăutu Ampoiului h. - Ampoiţa h. - Şard Ighiu h. - Bărăbanţ Nord h. - Antestaţie Bărăbanţ h. - Bărăbanţ Hm. - Alba Iulia,2
63,227098, Iaşi - Roman, Iaşi - Nicolina - Ciurea Hm. - Picioru Lupului h. - Bârnova Hm. - Grajduri - Scânteia Hm. - Rebricea Hm. - Rateşu Cuzei h. - Buhăieşti - Negreşti Vaslui Hm. - Rafaila h. - Dumeşti h. - Mareşal C-tin Prezan Hm. - Suhuleţ h. - Băluşeşti h - Dagâţa - Zece Prăjini h - Piscu Rusului h. - Stăniţa h. - Vulpăşeşti h. - Sagna h. - Roman,2
64,227098, Braşov - Întorsura Buzăului Hm, Braşov - Pav. CFR Braşov Triaj h. - Hărman - Budila hcv. - Teliu h. - Valea Teliului h. - Poiana Florilor h. - Întorsura Buzăului Hm,2
65,227098, Bistriţa Nord - Sărmăşel hcv ., Bistriţa Nord - Bistriţa Fabrici h. - Sărata h. - Sărăţel - Arcalia hc. - Măgheruş Şieu Hm. - Chintelnic h. - Chiraleş h. - Ţigău h. - Lechinţa - Vermeş h. - Sângiorgiu Nou h. - Brăteni h. - Sânmihaiu de Câmpie h. - Miceştii de Câmpie h. - Budeşti Cluj h. - Ţagu h. - Ţagu Sat h. - Ţăgşor h. - Sărmăşel hcv .,2
66,227098, Urziceni - Ploieşti Sud, Urziceni - Bărbuleşti h. - Armăşeşti Hm. - Ialomiţa Hm. - Fulga hc. - Ciorani Hm. - Hătcărău h. - Drăgăneşti Prahova Hm. - Cornurile h. - Zănoaga Hm. - Trestieni h. - Râfov h. - Corlăteşti Hm. - Dâmbu Hm. - Ploieşti Sud,2
67,227098, Timişoara Nord - Reşiţa Nord, Timişoara Nord - Timişoara Sud - Timişoara C.E.T. - Timişeni Hm. - Pădureni Timiş  P.M. - Jebel - Voiteni - Birda hcv. - Gătaia - Măureni hc. - Gherteniş hc. - Berzovia - Bocşa Română hc. - Vasiova - Bocşa Montană hc. - Colţan h. - Moniom h. - Câlnic h. - Reşiţa Nord,2
68,227098, Gătaia - Reşiţa Nord, Gătaia - Măureni hc. - Gherteniş hc. - Berzovia - Bocşa Română hc. - Vasiova - Bocşa Montană hc. - Colţan h. - Moniom h. - Câlnic h. - Reşiţa Nord,2
69,227098, Blaj - Praid, Blaj - Sâncel h. - Pănade h. - Şona h. - Sfântu Nicolae h. - Bălcaci h. - Jidvei  hcv. - Feisa h. - Cetatea de Baltă h. - Crăieşti h. - Adămuş h. - Târnaveni Vest Hm. - Târnaveni - Şeuca h. - Găneşti h. - Deaj h. - Mica h. - Bernadea h. - Bahnea h. - Laslău h. - Şoimuş h. - Coroiu h. - Bălăuşeri hcv. - Fântânele h. - Sângeorgiu de Pădure h. - Cioc h. - Ghindari h. - Chibed h. - Sărăţeni h. - Sovata  hcv. - Praid,2
70,227098, Hârlău - Iaşi, Hârlău - Bădeni hc. - Cepleniţa hc. - Cotnari hc. - Hodora h. - Podu Ulmi h. - Belceşti Hm. - Spinoasa h. - Erbiceni hc. - Podu Iloaiei - Leţcani - Iaşi,2
71,227098, Bucureşti Nord Gr.A - Braşov, Bucureşti Nord Gr.A - Buftea - Dârza h. - Periş - Scroviştea h. - Crivina - Brazi - Ploieşti Vest - Buda - Floreşti Prahova - Câmpina - Breaza hc. - Nistoreşti h. - Breaza Nord h. - Comarnic - Valea Largă Hm. - Sinaia Sud h. - Sinaia - Poiana Ţapului hc. - Buşteni - Azuga - Predeal - Dârste - Braşov,2
72,227098, Cermei hcv - Ineu, Cermei hcv - Teuz h. - Ineu,2
